WEEK 1	Introduction
Self-Interested agent	some entity that has preferences and acts on them
Game	a strategic interaction between self-interested agents
Player	a self-interested agent that acts in a game
actions	defined moves that a player can make in a game
payoffs	the possible outcomes in a game for each of the players
Utility function, Payoff function	a formal description of the preferences of a self-interested agent
Normal Form, Matrix Form, Strategic Form	representation of payoffs expressed as a function of player actions, assuming that each player acts simultaneously
Action set	a description of all actions that a single player can make in a game
Strategy	a particular given choice of actions made by a player
Action profile, Strategy profile	a particular given choice of strategies by all players in a game
Payoff profile	The payoffs of all players given the strategy profile of a game
Best response	given the strategies of all other players, a strategy that offers a player a utility at least as good as any other strategy.
Nash equilibrium, NE	 a Strategy Profile where for all agents, every player is playing one of their Best Responses
strictly dominates	The relationship of one strategy to another, where one strategy provides a player with a better payoff than the other strategy regardless of what the other players do
very weakly dominates	The relationship of one strategy to another, where one strategy provides a player with a payoff at least as good as the other strategy regardless of what the other players do
dominant	a strategy that provides a player with a payoff at least as good as any other available strategy regardless of what the other players do
Nash equilibrium, NE	The definition of a strategy profile that consists entirely of dominant strategies
unique, uniqueness	An attribute of a strategy profile of strictly dominant strategies
Pareto dominates	The relationship of one outcome to another, where at least one player strictly prefers one outcome and all the other players very weakly prefer it
Pareto optimum	An outcome where for all players there is no other outcome that is strictly-preferred by at least one player and very weakly-preferred by the others.
both defect	In prisoner's dilemma, what is the Nash equilibrium strategy for both players
both defect	In prisoner's dilemma, what is the only strategy for both players that is not Pareto optimal
WEEK 2	Mixed strategies
Pure	a predictable strategy with no random element
Mixed	a strategy that is a set of pure strategies applied randomly, each with some positive probality
Nash equilibrium, NE	What every finite game has.
support	A general term for the set of pure strategies that make up a mixed strategy
Nash equilibrium, NE	A point where all players are indifferent to how they play, given the probability distributions of the other players' supports
equal	In a mixed strategy equilibrium, a player's payoffs are all...
unchanged	If a player's payoffs change, then at the new Nash equilibria their own probability distribution will be...
changed	If a player's payoffs change, then at the new Nash equilibria other player's probability distributions will be...
go down	If one player's payoff goes up for a particular outcome, then at the Nash equilibrium the probability of another player taking an action that might lead to that outcome will, in general...
preprocessing step	Iterated removal of strictly dominated strategies applied before computing equilibrium is an example of a
removed	A pure strategy that is strictly dominated by a different pure strategy can be
removed	A pure strategy that is strictly dominated by any other mixed strategy can be
dominance solvable	A game that can be solved using iterated removal of strictly dominated strategies
does not matter	Order of removal of strictly dominated strategies
Maxmin	A strategy that maximises the value of a worst-case payoff
Maxmin value, Safety value	the minimum payoff guaranteed by a maxmin strategy
Minmax	A strategy that minimises the other players' best-case payoff  
Minmax value	The maximum payoff for a player when other players are playing minmax strategies
zero-sum	In what sort of game does a mimax strategy make sense
Correlated equilibrium	an outcome that is arrived at through some form of public signal that exceeds any Nash equilibrium
WEEK 4	Extensive form
Extensive form	representation of payoffs expressed as a function of player actions, assuming that each player acts sequentially
Perfect information	where a player knows everything about the strategies of other players in a game 
Imperfect information	where a player does not know everything about the strategies of other players in a game 
Game tree	In an extensive-form game, a representation of sequential actions in a game
Choice nodes	In an extensive-form game, the set of points in a game tree where a player can make non-terminal choice
Terminal nodes, leaf nodes	In an extensive-form game, the set of points in a game tree where players can make a choice that ends the game
Action function	In an extensive-form game, a formal description of the choices that can be made by a player in a game at any given node
Player function	In an extensive-form game, a formal description of which players in a game can make a choice at a given node
Successor function	In an extensive-form game, a formal description of how an action at any given choice node can lead the game to a new node in the game tree
Complete specification	In an extensive-form game, a description of each action that a player should take at each choice node of a game tree 
Induced normal form	Representation of an extensive-form game in normal form
Pure strategy Nash equilibrium, PSNE	Every perfect information game in extensive form has a...
Subgame	A game restricted to the descendents of any choice node in an extensive-form game
Subgame perfect	A Nash equilibrium of an extensive-form game where each of the subgames are themselves Nash equilibria
Backward induction	In an extensive-form game, a process for finding subgame perfect equilibria
Pruning	In an extensive-form game, the process by which child nodes are removed in the process of backward induction, because the parent node will never be visited
Ultimatum bargaining	A simple game where one player makes an offer and the other player can choose to accept or reject it.
Equivalence class	In an imperfect information extensive-form game, a grouping of different nodes that produce the same payoff for a player regardless of the previous actions of other players
Nash equilibrium	What always exists for every imperfect information extensive-form game
Behavioural	In an extensive-form game, a strategy that assigns at each node a probability distribution over the set of possible actions
equal	In a perfect information extensive-form game, the outcome of a mixed and a behavioural strategy are both
Perfect recall	In an  imperfect information extensive-form game, the outcome of a mixed and a behavioural strategy are both equal in the case where the game has...
Proper subgames	In an imperfect information extensive-form game, there may not be many...
WEEK 5	REPEATED GAMES
repeated game	A game that is played more than once
stochastic game	A generalisation of a repeated game where at any point the game may change
Markov Decision Process, MDP	A single-agent stochastic game with a finite set of states and actions, a set of probabilities of an action leading from one state to another, and a set of expected rewards for each transition
Average reward	In a repeated game, a player's total aggregate payoff divided by the number of repetitions of the game
Discount factor	In a repeated game, the rate at which the value to a player of successive payoffs is sustained, due to uncertainty about when the game might finish or other factors
Learning	The method applied by an agent to adapt its behaviour in a repeated game
Fictitious play	A form of learning, where an agent starts with assumptions about their opponents' strategies and updates those assumptions in response to each round of play
Nash equilibrium	If the empirical distribution of each player's strategies converges in fictitious play, then it converges to a 
Regret	The difference between the payoff an agent receives at a given time for playing a given strategy and the payoff he could have received for playing a different strategy
No-regret	A learning rule that when applied by an agent, tends over time to a regret of 0
Regret matching	A learning rule where a player plays a pure strategy with a probability that is in inverse proportion to the regret that that strategy has caused in the past
Correlated equilibrium	For a finite game, regret matching converges to a
Pure	In an infinitely-repeated game, a strategy that uses the same learning rule throughout
enforceable	A payoff profile that meets the condition that every player is getting a payoff at least as great as their minmax value
feasible	A payoff profile that meets the condition that each player's payoff can actually be met by some mixed strategy, given the payoffs of their available pure strategies
Nash equilibrium	Folk theorem: If a payoff profile is both enforceable and feasible, then it is a
Stage game	In a repeated game, the game which forms the basis of each repetition
Grim trigger	In a repeated game, a strategy that begins with cooperation but which when met with defection switches thereafter to defection
Subgame perfect	In a repeated game, repeatedly playing a given Nash equilibrium of a stage game is always...
Discount factor, Beta	In a repeated game with a correlated equilibrium, the total payoff for cooperation will generally be higher than for defection if there is a sufficiently high...
power series, geometric series	In a repeated game, the total discounted payoff for playing the same strategy repeatedly is calculated from the sum of a
1 - beta	The sum of a simple power series of beta where  0 > beta > 1 is given by the inverse of 
current	folk theorem: discounted repeated games. M stands for the maximum gain from deviation (given a correlated equilibrium and at least one Nash equilibrium) in which time period(s)?
subsequent	folk theorem: discounted repeated games. m stands for the minimum loss from deviation (given a correlated equilibrium and at least one Nash equilibrium) in which time period(s)?
sum	folk theorem: discounted repeated games. The minimum value of beta for a sustainable correlated equilibrium needs to be more than M divided by what function of M and m?
tit for tat	A strategy where a player co-operates by default, but then if met with defection will in the next game ignore the other player's action and defect before returning to cooperation
twice	If in a two-player game a player plays tit for tat, this has the effect of making the other player treat it as a game that is repeated
